record_type,perm_id,n_boot,seed,runtime_sec,converged,FP_between,slope_1985_1991,slope_1992_2001,slope_2002_2007,slope_2008_2015
metadata,NA,1000,42,414.01300000000003,NA,NA,NA,NA,NA,NA
permutation,60,NA,NA,NA,TRUE,-4.469090997423937e-5,-4.469090997423937e-5,-0.012032521638045572,0.03543361100604115,0.022274677533942945
permutation,61,NA,NA,NA,TRUE,8.91619502797029e-4,8.91619502797029e-4,0.00296320963513635,-0.030354863034998826,-0.011224534742634117
permutation,62,NA,NA,NA,TRUE,0.005793770347015757,0.005793770347015757,-0.0022447916013886553,0.022332652689191372,7.485479661536731e-4
permutation,63,NA,NA,NA,TRUE,-0.012628583572710394,-0.012628583572710394,-0.011935743960053405,-0.029038898816509978,-0.030856365273336857
permutation,64,NA,NA,NA,TRUE,-0.015646996245970157,-0.015646996245970157,0.006238669820634514,0.02538131121245818,0.019806676824575188
permutation,65,NA,NA,NA,TRUE,0.004762404547873952,0.004762404547873952,0.02631453656487436,0.03354648048119625,0.026080719420389475
permutation,66,NA,NA,NA,TRUE,0.010001954643850378,0.010001954643850378,0.02865765965684744,0.04918063088373608,0.06179987360180589
permutation,67,NA,NA,NA,TRUE,-0.026496683351412573,-0.026496683351412573,-0.008031092976464045,-0.022637758141306554,-0.03242851346739498
permutation,68,NA,NA,NA,TRUE,-0.0036522799586871805,-0.0036522799586871805,-5.311262844137988e-4,-0.0258937593442279,-0.01636332401530844
permutation,69,NA,NA,NA,TRUE,0.006468123471759255,0.006468123471759255,0.00519166209446891,-0.02887341138200382,-0.026819390037676097
permutation,70,NA,NA,NA,TRUE,-0.019485398065714577,-0.019485398065714577,-0.029057589583936817,-0.034271678858071974,-0.01711248798009155
permutation,71,NA,NA,NA,TRUE,-0.014159635728682977,-0.014159635728682977,-0.03003448052939691,-0.020447197548149908,-0.018879277516245397
permutation,72,NA,NA,NA,TRUE,0.01307300930548274,0.01307300930548274,0.0238104498636669,0.022638212713819002,0.024779088406081173
permutation,73,NA,NA,NA,TRUE,-0.004837717161727692,-0.004837717161727692,-0.003978579068369277,-0.005871430547650241,-0.006421382179540024
permutation,74,NA,NA,NA,TRUE,-0.007394591890905587,-0.007394591890905587,-0.00568866569134215,-0.005252901876312631,-0.0025293354948756654
permutation,75,NA,NA,NA,TRUE,-0.009703132380991606,-0.009703132380991606,-0.011532574017544869,-0.02570824185001557,-0.029634035664154228
permutation,76,NA,NA,NA,TRUE,-0.012402135912241229,-0.012402135912241229,-0.009313183644379034,0.00774028550351381,-0.012733665880152885
permutation,77,NA,NA,NA,TRUE,0.006597389327509221,0.006597389327509221,0.012011627865004395,0.003702695605523736,0.017325530476012662
permutation,78,NA,NA,NA,TRUE,0.010760322004992107,0.010760322004992107,0.003914528432191621,-0.012829026179709456,0.0014674380973167898
permutation,79,NA,NA,NA,TRUE,0.013558379954254445,0.013558379954254445,0.037175721097379176,0.04170648546499223,0.044150861310378466
permutation,80,NA,NA,NA,TRUE,-0.006194676666296516,-0.006194676666296516,-0.01331635893187937,0.005635206555240746,-0.0093026372472451
permutation,81,NA,NA,NA,TRUE,0.013021571761848705,0.013021571761848705,0.014018278367187186,2.601512078849906e-4,0.009998051218123076
permutation,82,NA,NA,NA,TRUE,0.03303408143514185,0.03303408143514185,0.007490160096169127,-0.017249394293773875,-0.015012029464084073
permutation,83,NA,NA,NA,TRUE,0.008705992769034986,0.008705992769034986,0.022597218300743325,-0.0066566861915558825,0.02438381101737521
