"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"38F7",7.49999999995009,54.7499999999501,-23.3574652777778,23.3574652777778,8,40,32,354.50557385669,84.5055738566903,0.00125092613164803,-22,100,28800,28800,28800,2.50000000004991,FALSE,FALSE
"38F8",8.50000000019992,54.7499999999501,-2.38951388888889,2.38951388888889,-47,27,74,214.705475691608,304.705475691608,0.0012622090558674,1,89.7364984251364,28800,13017,11681,1.49999999980008,FALSE,FALSE
"39E8",-1.50000000004991,55.2499999998502,16.3248958333333,-16.3248958333333,-416,105,521,10.7579074128497,100.75790741285,0.0147585262326944,-27,99.8508527332858,28800,15421,15398,3.49999999995009,FALSE,FALSE
"39E9",-0.499999999800082,55.2499999998502,-75.3679166666667,75.3679166666667,58,110,52,232.055334244064,322.055334244064,0.00136693712411007,-68,100,28800,28800,28800,4.50000000019992,FALSE,FALSE
"39F0",0.500000000000057,55.2499999998502,-74.2049652777778,74.2049652777778,48,99,51,114.781973912972,204.781973912972,0.00501310294829905,-84,46.9618055555556,28800,28800,13525,5.24999999985016,TRUE,FALSE
"39F1",1.4999999998002,55.2499999998502,-50.6457638888889,50.6457638888889,21,88,67,122.202032620137,212.202032620137,0.0055203973028606,-49,87.6180555555556,28800,28800,25234,5.24999999985016,FALSE,FALSE
"39F2",2.50000000004999,55.2499999998502,-34.0064930555556,34.0064930555556,22,65,43,126.93891904356,216.93891904356,0.00104897820425898,-33,99.8298611111111,28800,28800,28751,5.24999999985016,FALSE,FALSE
"39F3",3.50000000029982,55.2499999998502,-32.2019097222222,32.2019097222222,21,47,26,0,90,0,-27,99.7604166666667,28800,28800,28731,5.24999999985016,FALSE,FALSE
"39F4",4.50000000009999,55.2499999998502,-42.8583333333333,42.8583333333333,28,49,21,319.469718212364,49.469718212364,0.00110586921811728,-47,99.0208333333333,28800,28800,28518,5.24999999985016,FALSE,FALSE
"39F5",5.49999999990013,55.2499999998502,-43.3691666666667,43.3691666666667,38,55,17,0,90,0,-43,99.3715277777778,28800,28800,28619,4.50000000009988,FALSE,FALSE
"39F6",6.49999999970026,55.2499999998502,-39.6336805555556,39.6336805555556,20,53,33,19.9369848714171,109.936984871417,0.00245881847101329,-40,95.7256944444444,28800,28800,27569,3.50000000029974,FALSE,FALSE
"39F7",7.49999999995009,55.2499999998502,-23.2359027777778,23.2359027777778,2,37,35,0,90,0.00126079477489784,-20,98.6631944444444,28800,28800,28415,2.50000000004991,FALSE,FALSE
