stat_rec,mean_D,mean_annual_hours_total,cooks_distance,cooks_threshold_4_over_n
39F2,0.6626203030952744,8257.258064516129,0.0024136055442988175,0.024844720496894408
50E8,0.660511958750722,7463.516129032258,0.0023822464108567533,0.024844720496894408
43F3,0.6521999994664577,3922.096774193548,0.002382061146687192,0.024844720496894408
35F3,0.6723063018466627,22357.548387096773,0.002368602503879667,0.024844720496894408
48F0,0.654124521953825,5167.774193548387,0.0022662588106061587,0.024844720496894408
39F6,0.6207882138246489,39363.32258064517,0.0021820629642045953,0.024844720496894408
37F8,0.6640884962483752,75348.7741935484,0.002152782276721124,0.024844720496894408
43F4,0.661831207899335,9097.032258064515,0.0021473435085199288,0.024844720496894408
37F6,0.5984446922340059,27076.87096774193,0.0020914810635708114,0.024844720496894408
38F6,0.5851313400447938,20343.09677419355,0.0019391090968275855,0.024844720496894408
35F4,0.6638971514949172,28272.774193548383,0.0017879951653251463,0.024844720496894408
33F2,0.6650326691954079,25560.64516129032,0.0017869241655127258,0.024844720496894408
43F5,0.6615991534445872,11198.064516129034,0.0017667776266944671,0.024844720496894408
42F2,0.5807047407549799,2741.870967741936,0.001757535640590935,0.024844720496894408
35F0,0.5781565464116553,9326.032258064515,0.0017281181618250584,0.024844720496894408
45E7,0.5803192865602262,4401.935483870967,0.0017206300100161235,0.024844720496894408
37F1,0.6138874758308687,32300.032258064515,0.0014378088271024127,0.024844720496894408
40F7,0.6091356077744179,29519.64516129033,0.0014158974275978154,0.024844720496894408
47E7,0.5846077987953472,1287.6206896551726,0.0013882426681024566,0.024844720496894408
38F7,0.6615427680535799,22089.25806451613,0.00133586762595903,0.024844720496894408
49E7,0.6417777623794342,3749.096774193548,0.0013031012346723,0.024844720496894408
49F1,0.6464699397477844,6364.16129032258,0.0012684064806966532,0.024844720496894408
48E8,0.5857828830004447,5542.580645161291,0.00118202929077334,0.024844720496894408
41E8,0.5869318651058378,4747.806451612904,0.0011032785547919143,0.024844720496894408
49F2,0.5878720803817207,2180.3870967741937,0.0010604331497870334,0.024844720496894408
51E8,0.6473057736904958,8331.677419354837,0.001054397147304359,0.024844720496894408
50F2,0.6388281505242663,4540.645161290323,9.348282432903921e-4,0.024844720496894408
46E6,0.5896448144209464,1769.2258064516125,9.11981935387616e-4,0.024844720496894408
34F3,0.6546688874862147,21291.41935483871,8.356235135384e-4,0.024844720496894408
46F2,0.5906089706921076,1529.2903225806454,8.338587374720955e-4,0.024844720496894408
47F1,0.6341741094399921,2933.032258064517,7.952343021137675e-4,0.024844720496894408
44F5,0.6527672688120559,19268.70967741936,7.335390570584061e-4,0.024844720496894408
43F1,0.5919991294087804,1343.2258064516127,7.255536919821596e-4,0.024844720496894408
38F8,0.6307326387949529,39785.96774193548,7.196742645747467e-4,0.024844720496894408
40F4,0.6462539074083257,12276.096774193553,6.421293545532697e-4,0.024844720496894408
39F7,0.653171114746372,34737.903225806454,6.413777453684934e-4,0.024844720496894408
39F1,0.6512328479562501,20967.41935483871,6.367452206983077e-4,0.024844720496894408
41F5,0.6160150183315655,28195.161290322583,6.039639760113896e-4,0.024844720496894408
36F7,0.6334004010903284,40873.03225806452,5.707012568511585e-4,0.024844720496894408
47E9,0.6390350542910687,8197.096774193551,5.661496194618936e-4,0.024844720496894408
48F1,0.5955887825263905,1547.5806451612905,4.8353298213372965e-4,0.024844720496894408
