stat_rec,mean_ln_B_obs,mean_annual_hours_total,n_hauls
49F0,12.758611694730318,13702.709677419358,58
49F1,12.607607747409387,6364.16129032258,61
49F2,11.870988695929539,2180.3870967741937,60
49F3,12.482626133534069,10904.419354838708,60
50E8,12.193774492175143,7463.5161290322585,33
50E9,11.95109231202616,15558.58064516129,45
50F0,12.570584547541504,6911.032258064517,59
50F1,12.92845767190047,4362.5161290322585,56
50F2,12.287361511792694,4540.645161290323,56
50F3,12.594426850409665,5532.1612903225805,54
51E8,12.39760724156916,8331.677419354837,39
51E9,12.470794610038014,7924.580645161292,47
51F0,12.336019686289847,4653.225806451613,53
51F1,12.578266115677984,5468.322580645162,53
51F2,12.44644379883827,9382.741935483871,53
