model_id,hypothesis_group,component,phase,year_start,year_end,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi,statistic,p_value
spec_a,H2_spatial_between,FP_between,2008-2015,2008,2015,-0.016308026350863935,0.02562945112006978,-0.0665417505462007,0.03392569784447283,-0.636300257639678,0.5245807370628619
spec_a,H3_temporal_within,FP_within,1985-1991,1985,1991,0.005061533326660163,0.015136262532046214,-0.024605541236150413,0.03472860788947074,0.33439782878659635,0.7380793775823389
spec_a,H3_temporal_within,FP_within,1992-2001,1992,2001,0.04245429830789463,0.01711378903937582,0.008911271790718024,0.07599732482507124,2.4807071192834473,0.013112206149179717
spec_a,H3_temporal_within,FP_within,2002-2007,2002,2007,-0.011645027028418159,0.017385537685352292,-0.04572068089170865,0.022430626834872333,-0.6698111521871053,0.5029781834292828
spec_a,H3_temporal_within,FP_within,2008-2015,2008,2015,0.05407982200515003,0.012257202363091886,0.030055705373489935,0.07810393863681013,4.412085270615404,1.0237977453969151e-5
spec_b,H2_spatial_between,FP_between,1985-1991,1985,1991,-0.06243820112477209,0.013688751523128324,-0.08926815411010361,-0.03560824813944057,-4.561277996702429,5.084321346460004e-6
spec_b,H2_spatial_between,FP_between,1992-2001,1992,2001,-0.041349293094231764,0.012426900165690384,-0.06570601741898492,-0.01699256876947861,-3.327402050625115,8.765979993375428e-4
spec_b,H2_spatial_between,FP_between,2002-2007,2002,2007,0.07603790109578165,0.013759150962008406,0.049069965210245176,0.10300583698131813,5.52635124839727,3.269592250293254e-8
spec_b,H2_spatial_between,FP_between,2008-2015,2008,2015,0.025760669810069962,0.01261425673687693,0.0010367266057911793,0.05048461301434874,2.0421868959397647,0.041132995830124176
spec_b,H3_temporal_within,FP_within,1985-1991,1985,1991,0.04950542521384593,0.01472283458327777,0.0206486694306215,0.07836218099707036,3.3624927953801986,7.724214169241959e-4
spec_b,H3_temporal_within,FP_within,1992-2001,1992,2001,0.045047802407345024,0.01702879081948299,0.011671372401158363,0.07842423241353169,2.645390555611553,0.008159667794050253
spec_b,H3_temporal_within,FP_within,2002-2007,2002,2007,0.007740111684670897,0.017256992130371917,-0.026083592890858057,0.04156381626019985,0.4485203230201673,0.6537777223682076
spec_b,H3_temporal_within,FP_within,2008-2015,2008,2015,0.05499316379890185,0.012064483806685821,0.03134677553779765,0.07863955206000606,4.558269104594934,5.157692524958641e-6
spec_ab,H2_spatial_between,FP_between,1985-1991,1985,1991,0.02199847582549385,0.02263526704510935,-0.02236664758292048,0.06636359923390818,0.9718672981261298,0.3311165704389228
spec_ab,H2_spatial_between,FP_between,1992-2001,1992,2001,0.010129131958276397,0.021043403844260112,-0.031115939576473427,0.05137420349302622,0.4813447497962295,0.6302714972690093
spec_ab,H2_spatial_between,FP_between,2002-2007,2002,2007,-0.017366921454554866,0.023075673617416793,-0.06259524174469178,0.027861398835582044,-0.7526073449681165,0.4516859025983212
spec_ab,H2_spatial_between,FP_between,2008-2015,2008,2015,-0.012380398528441285,0.02197263948500639,-0.05544677191905381,0.030685974862171242,-0.5634461229334499,0.5731311375586348
spec_ab,H3_temporal_within,FP_within,1985-1991,1985,1991,0.027618156632858975,0.014995861343774413,-0.0017737316009388722,0.057010044866656825,1.841718591531573,0.0655163233017387
spec_ab,H3_temporal_within,FP_within,1992-2001,1992,2001,0.04296559549939947,0.016926171705700994,0.009790298956225518,0.07614089204257342,2.5384118893776786,0.01113568394029039
spec_ab,H3_temporal_within,FP_within,2002-2007,2002,2007,-0.0010891290238867375,0.017193514286701822,-0.034788417025822305,0.03261015897804884,-0.06334534090736267,0.9494915114126066
spec_ab,H3_temporal_within,FP_within,2008-2015,2008,2015,0.04859395747927178,0.012086300409798576,0.02490480867606657,0.072283106282477,4.020581636368711,5.805462629387145e-5
