phase_v2,FP_between,smooth_fit,smooth_se,smooth_lo,smooth_hi,linear_fit,linear_se,linear_lo,linear_hi,centered_at_FP_between
1985-1991,6.92775064168814,0.04856649386796799,0.03204342446722132,-0.014238618087785787,0.11137160582372177,0.050330074024500376,0.10741400260257608,-0.16020137107654875,0.2608615191255495,8.966104274930782
1985-1991,6.966890348555256,0.04763322315849781,0.03143151210006096,-0.013972540557621677,0.10923898687461729,0.04936218798556766,0.1080208594010858,-0.1623586964405605,0.2610830724116958,8.966104274930782
1985-1991,7.006030055422372,0.04669998245506386,0.030819728284652625,-0.01370668498285528,0.107106649892983,0.048394301946634966,0.1086277161995955,-0.16451602180457223,0.2613046256978422,8.966104274930782
1985-1991,7.045169762289488,0.04576677185001413,0.030208071710627248,-0.013441048702815268,0.10497459240284354,0.047426415907702246,0.10923457299810521,-0.16667334716858395,0.26152617898398844,8.966104274930782
1985-1991,7.0843094691566035,0.044833591122729055,0.029596540719184727,-0.013175628686873012,0.10284281093233112,0.04645852986876958,0.10984142979661492,-0.16883067253259565,0.2617477322701348,8.966104274930782
1985-1991,7.12344917602372,0.0439004397876124,0.028985133336641242,-0.012910421552204433,0.10071130112742924,0.04549064382983686,0.11044828659512465,-0.17098799789660746,0.2619692855562812,8.966104274930782
1985-1991,7.1625888828908355,0.042967316603723396,0.02837384746222809,-0.012645424422243659,0.09858005762969045,0.04452275779090417,0.11105514339363436,-0.17314532326061916,0.2621908388424275,8.966104274930782
1985-1991,7.201728589757952,0.04203421956962902,0.027762680952074795,-0.012380635096437574,0.09644907423569563,0.04355487175197145,0.11166200019214408,-0.17530264862463094,0.2624123921285738,8.966104274930782
1985-1991,7.240868296625068,0.04110114635977788,0.027151631564584767,-0.012116051506808265,0.09431834422636402,0.04258698571303876,0.11226885699065378,-0.17745997398864263,0.2626339454147202,8.966104274930782
1985-1991,7.280008003492184,0.04016809436799696,0.026540696996919494,-0.011851671745965249,0.09218786048195918,0.04161909967410607,0.11287571378916349,-0.17961729935265436,0.2628554987008665,8.966104274930782
1985-1991,7.3191477103592995,0.03923506090823672,0.02592987486522933,-0.011587493827612774,0.09005761564408621,0.04065121363517338,0.11348257058767319,-0.18177462471666608,0.2630770519870128,8.966104274930782
1985-1991,7.358287417226416,0.038302042713887915,0.02531916293239211,-0.011323516633600622,0.08792760206137645,0.03968332759624066,0.11408942738618291,-0.18393195008067784,0.2632986052731592,8.966104274930782
1985-1991,7.397427124093532,0.037369035941896445,0.024708559176310724,-0.011059740043672571,0.08579781192746547,0.03871544155730797,0.11469628418469263,-0.1860892754446896,0.26352015855930555,8.966104274930782
1985-1991,7.436566830960648,0.03643603660561717,0.024098061676570935,-0.010796164280461859,0.0836682374916962,0.037747555518375275,0.11530314098320234,-0.18824660080870131,0.26374171184545186,8.966104274930782
1985-1991,7.475706537827763,0.03550304047020885,0.02348766869478734,-0.010532790171574331,0.08153887111199204,0.036779669479442584,0.11590999778171204,-0.190403926172713,0.2639632651315982,8.966104274930782
