stat_rec,1985-1994,1995-2004,2005-2015
44E8,34297,8016.4,1544.4545454545453
44E9,15043.5,9456,3591.818181818182
44F0,22027,14034.5,3538.2727272727275
44F1,4923.6,2067.8,547.5454545454545
44F2,9616.5,3235.9,766.8181818181818
44F3,19223.3,6172.300000000001,3232.090909090909
44F4,12586.4,5627.3,3084.818181818182
44F5,21698.7,25547.2,11351.90909090909
44F6,19917.6,20176.7,13828.363636363636
45E6,1961.6,739.1,631.0909090909091
45E7,8893,2932.6,1654.909090909091
45E8,30613.7,15878.8,5045.909090909091
45E9,18749.3,16320.6,6852.181818181818
45F0,71347.9,39462.6,8624.727272727272
45F1,19133.9,8924.4,3667.181818181818
45F2,7513.5,3153.5,1874.6363636363635
45F3,9232.9,7799.7,3396.6363636363635
45F4,17116.7,18484.9,7966.454545454546
45F5,7130.1,8879.4,3463.5454545454545
45F6,286,207.2,150.63636363636363
46E6,44.3,4506.5,848.9090909090909
46E7,2677.1,690.2,263.3636363636364
46E8,7738.7,7300,2415.909090909091
46E9,15879.3,13054.6,4534.363636363636
46F0,32325.4,20175.5,7266.363636363636
46F1,6283,5840,2022.6363636363635
46F2,2492,1003.8999999999999,1131.7272727272727
46F3,13819.6,15551.5,6398.363636363636
46F4,1151.3,1428.3,472.3636363636364
46F5,286.7,313.6,159.1818181818182
46F6,8,27,2
47E6,925,11911.600000000002,2041.090909090909
47E7,2653.5,955.7999999999998,138.66666666666669
47E8,4218.8,1611.6,954
47E9,11672.5,10347.7,3082.5454545454545
47F0,13649.1,10244.7,3481.6363636363635
47F1,4298.1,3086.4,1552.6363636363635
47F2,5363.7,4811.9,1978.7272727272727
47F3,12673.9,17833,5963.454545454545
47F4,158.2,280,127.72727272727273
47F5,131.4,146.2,58.25
47F6,NA,10,48.333333333333336
48E6,1798.5,7601,1347.7272727272727
48E7,2043.9,4195.8,350.81818181818187
48E8,11322.3,4641.2,1107.7272727272725
48E9,5807.7,3874.8,1830.8181818181818
48F0,6371.5,6290.6,3052.7272727272725
48F1,2120.3,1518,1053.8181818181818
48F2,2737.3,1533,777.1818181818182
48F3,11009.8,18627.3,4980.727272727273
48F4,171.3,1190.1,731.4
48F5,93.1,154.6,60
49E6,4413.3,9122.8,2437.909090909091
49E7,2184.3,7606.800000000001,1664.6363636363635
49E8,241.8,3919.8,1482.909090909091
49E9,10127.8,9194.5,2464
49F0,24327.9,12204.4,5405.545454545454
49F1,11765.2,4908.4,2777.5454545454545
49F2,2985.6,2527.6,1132.7272727272727
49F3,10293.3,17472.2,5489.272727272727
49F4,110.5,1271.4,512.9090909090909
49F5,33.5,75,62
50E6,1294.4,2302.7,640.3636363636364
50E7,8072.7,8961,3677.6363636363635
50E8,3043.6,16400.2,3357.3636363636365
50E9,19884.8,23680.2,4242.363636363636
50F0,12278.4,6780.1,2150.6363636363635
50F1,7587.4,4138.1,1634.8181818181818
50F2,4088.5,6530.6,3142.6363636363635
50F3,5326.3,9004.7,2562.4545454545455
50F4,3835.3,3321.2,2479.714285714286
50F5,114,49,99.5
51E6,27.833333333333336,87.875,9.363636363636363
51E7,760.9,930.3,282.54545454545456
51E8,8452,12075.2,4819.090909090909
51E9,13545.5,8035.9,2713.4545454545455
51F0,8983.2,3917.5,1385.7272727272727
51F1,6903,7196.4,2593.090909090909
51F2,10510.2,13399.5,4706.181818181818
51F3,880.7,306,68.36363636363636
51F4,53.9,40.5,14
51F5,NA,30.5,7
52E6,57.75,190.66666666666669,15
52E7,90.5,69.4,28.75
52E8,1192.6,998.3,316.1818181818182
52E9,8485.8,5088.9,2255.181818181818
52F0,10667.8,5378.8,2970.909090909091
52F1,11101.1,8939.4,2418.6363636363635
52F2,950.1,973.1,327.625
52F3,212.3,56.7,25.6
52F4,125.4,35.42857142857143,17
52F5,NA,29,NA
