seed,drop_frac,n_drop,n_keep,n_hauls,converged,phase,fp_slope,p_value
96,0.25,40,118,7744,TRUE,1985-1991,-0.008359089297004987,0.6678652505938358
96,0.25,40,118,7744,TRUE,1992-2001,0.03211074383593278,0.06535096731672867
96,0.25,40,118,7744,TRUE,2002-2007,0.12312777190010618,1.2246917791278706e-10
96,0.25,40,118,7744,TRUE,2008-2015,0.058165285721896914,0.0012072280557787936
97,0.25,40,118,7697,TRUE,1985-1991,-0.026376180872740858,0.13970552947056722
97,0.25,40,118,7697,TRUE,1992-2001,0.02527370259241684,0.11916963846937269
97,0.25,40,118,7697,TRUE,2002-2007,0.12579239527428895,1.956614554107797e-12
97,0.25,40,118,7697,TRUE,2008-2015,0.055210619960604744,9.719104328852817e-4
98,0.25,40,118,7690,TRUE,1985-1991,-0.0323186617683546,0.07686269528311461
98,0.25,40,118,7690,TRUE,1992-2001,0.0046239898469357735,0.784175488556418
98,0.25,40,118,7690,TRUE,2002-2007,0.14152017817709572,1.3084130573641936e-14
98,0.25,40,118,7690,TRUE,2008-2015,0.06102369508788244,4.379903471073252e-4
99,0.25,40,118,7817,TRUE,1985-1991,-0.017952315770268144,0.321046707048809
99,0.25,40,118,7817,TRUE,1992-2001,0.02287843870053559,0.17379009348997349
99,0.25,40,118,7817,TRUE,2002-2007,0.11770263335979417,1.0749814108964698e-10
99,0.25,40,118,7817,TRUE,2008-2015,0.05252582053747595,0.0023295868166141264
100,0.25,40,118,7877,TRUE,1985-1991,-0.03261512055514337,0.0723640482037086
100,0.25,40,118,7877,TRUE,1992-2001,0.009769062463491393,0.5576142993552744
100,0.25,40,118,7877,TRUE,2002-2007,0.12031304852268612,3.8605671596984014e-11
100,0.25,40,118,7877,TRUE,2008-2015,0.056730607306712685,0.0010751725350515605
101,0.25,40,118,7890,TRUE,1985-1991,-0.03017335820702458,0.09339360018219413
101,0.25,40,118,7890,TRUE,1992-2001,0.015648306952822082,0.33511013384886557
101,0.25,40,118,7890,TRUE,2002-2007,0.11871305682245137,2.9291263838721535e-11
101,0.25,40,118,7890,TRUE,2008-2015,0.054759725954854344,0.0013107666676773321
102,0.25,40,118,7775,TRUE,1985-1991,-0.037851952061827,0.03149604350174153
102,0.25,40,118,7775,TRUE,1992-2001,0.007835743915038773,0.6291800832289385
102,0.25,40,118,7775,TRUE,2002-2007,0.12000072207668108,1.4452120955062278e-11
102,0.25,40,118,7775,TRUE,2008-2015,0.049542619059988406,0.003098020901420092
103,0.25,40,118,7909,TRUE,1985-1991,-0.025295296066618008,0.16476428694408912
103,0.25,40,118,7909,TRUE,1992-2001,0.010139510225374574,0.5343731430640021
103,0.25,40,118,7909,TRUE,2002-2007,0.1333089311562718,1.7593258887097055e-13
103,0.25,40,118,7909,TRUE,2008-2015,0.06295964642484607,2.3859234619890088e-4
104,0.25,40,118,7956,TRUE,1985-1991,-0.04049400329826147,0.02365800695673958
104,0.25,40,118,7956,TRUE,1992-2001,0.0018543445524729224,0.9096357958278294
104,0.25,40,118,7956,TRUE,2002-2007,0.11954199164427048,2.950274899052243e-11
104,0.25,40,118,7956,TRUE,2008-2015,0.05500374768590477,0.001247441834964907
105,0.25,40,118,7775,TRUE,1985-1991,-0.024315914971829496,0.17925789124939234
105,0.25,40,118,7775,TRUE,1992-2001,0.015051617932901936,0.3649315634601802
105,0.25,40,118,7775,TRUE,2002-2007,0.12774080409196775,1.4506084450568568e-12
105,0.25,40,118,7775,TRUE,2008-2015,0.05379100276005154,0.0017172544192342269
106,0.25,40,118,7818,TRUE,1985-1991,-0.00938546210899757,0.5923456353176713
106,0.25,40,118,7818,TRUE,1992-2001,0.021324951333017546,0.17923984531860476
106,0.25,40,118,7818,TRUE,2002-2007,0.12341432007269182,2.1720347146661625e-12
106,0.25,40,118,7818,TRUE,2008-2015,0.05883551750060777,3.7534928986563695e-4
107,0.25,40,118,7769,TRUE,1985-1991,-0.01577388565080634,0.3871290782052098
107,0.25,40,118,7769,TRUE,1992-2001,0.02236004982848313,0.18128511284624296
107,0.25,40,118,7769,TRUE,2002-2007,0.11141403487871179,8.758538850688851e-10
107,0.25,40,118,7769,TRUE,2008-2015,0.05170100500140566,0.002677045860006485
108,0.25,40,118,7765,TRUE,1985-1991,-0.025492255111313335,0.1532739405836082
108,0.25,40,118,7765,TRUE,1992-2001,0.008478230574054463,0.6024516929245312
108,0.25,40,118,7765,TRUE,2002-2007,0.10816732857806122,1.2803299903747914e-9
108,0.25,40,118,7765,TRUE,2008-2015,0.04538824812504051,0.006735675133965407
109,0.25,40,118,7853,TRUE,1985-1991,-0.023948209264794115,0.18273785331382839
109,0.25,40,118,7853,TRUE,1992-2001,0.0272190105617727,0.09794884447729871
109,0.25,40,118,7853,TRUE,2002-2007,0.15306420259492298,2.7627920549243108e-17
109,0.25,40,118,7853,TRUE,2008-2015,0.06667481197849708,1.292610769266556e-4
110,0.25,40,118,7800,TRUE,1985-1991,-0.03943611190565279,0.02419765398470326
110,0.25,40,118,7800,TRUE,1992-2001,-0.005289111668752802,0.7398354957216291
110,0.25,40,118,7800,TRUE,2002-2007,0.10177779619607755,5.442480882331333e-9
110,0.25,40,118,7800,TRUE,2008-2015,0.03387283563975547,0.0412626755689839
111,0.25,40,118,7952,TRUE,1985-1991,-0.02666362462480483,0.11165316692638041
111,0.25,40,118,7952,TRUE,1992-2001,0.0023123299206828096,0.8776163043003284
111,0.25,40,118,7952,TRUE,2002-2007,0.11026058715686941,2.5958078645418218e-11
111,0.25,40,118,7952,TRUE,2008-2015,0.039259499194498435,0.011881294796682174
112,0.25,40,118,7828,TRUE,1985-1991,-0.009024632291466028,0.6220433942287703
112,0.25,40,118,7828,TRUE,1992-2001,0.009045698830262528,0.5881592254322302
112,0.25,40,118,7828,TRUE,2002-2007,0.10859129615300053,3.0105683775284055e-9
112,0.25,40,118,7828,TRUE,2008-2015,0.04844448129366628,0.004863439300453447
113,0.25,40,118,7788,TRUE,1985-1991,-0.03564829782834893,0.051354266046637224
113,0.25,40,118,7788,TRUE,1992-2001,0.011705684188920408,0.47697615839444607
113,0.25,40,118,7788,TRUE,2002-2007,0.1331434766536319,2.333857951017238e-13
113,0.25,40,118,7788,TRUE,2008-2015,0.06346770988102429,2.2277508270834368e-4
114,0.25,40,118,7720,TRUE,1985-1991,-0.018071776004267685,0.3196406558591859
114,0.25,40,118,7720,TRUE,1992-2001,0.026671299339684897,0.1026370805601773
114,0.25,40,118,7720,TRUE,2002-2007,0.1284051506167005,8.991174857261924e-13
114,0.25,40,118,7720,TRUE,2008-2015,0.06559113054576597,1.0651244372737746e-4
115,0.25,40,118,7896,TRUE,1985-1991,-0.03307898410308883,0.07895434737664571
115,0.25,40,118,7896,TRUE,1992-2001,0.0020864639628401516,0.9023539142365523
115,0.25,40,118,7896,TRUE,2002-2007,0.11982142626505335,1.6547750980518007e-10
115,0.25,40,118,7896,TRUE,2008-2015,0.060800058128536914,6.384497715687381e-4
116,0.25,40,118,7751,TRUE,1985-1991,-0.03617128256040016,0.039714292644038245
116,0.25,40,118,7751,TRUE,1992-2001,0.01506473907317065,0.35427068619186025
116,0.25,40,118,7751,TRUE,2002-2007,0.12234036851573979,3.988008390182379e-12
116,0.25,40,118,7751,TRUE,2008-2015,0.0532910916488901,0.001367405664815731
117,0.25,40,118,7749,TRUE,1985-1991,-0.007937013527148946,0.6416041953473328
117,0.25,40,118,7749,TRUE,1992-2001,0.01759042564151573,0.25698574379583766
117,0.25,40,118,7749,TRUE,2002-2007,0.11624174470616494,2.1697595563149486e-11
117,0.25,40,118,7749,TRUE,2008-2015,0.055364281917327673,5.342336555003707e-4
118,0.25,40,118,7931,TRUE,1985-1991,-0.03353176781866546,0.06616161232233851
118,0.25,40,118,7931,TRUE,1992-2001,0.0051407141294818395,0.7550836519278697
118,0.25,40,118,7931,TRUE,2002-2007,0.1153602368234529,2.0698399963768243e-10
118,0.25,40,118,7931,TRUE,2008-2015,0.0445456124806404,0.009729175490100328
119,0.25,40,118,7847,TRUE,1985-1991,-0.01884625634873613,0.28154422496651266
119,0.25,40,118,7847,TRUE,1992-2001,0.027301833736680527,0.08543418898918002
119,0.25,40,118,7847,TRUE,2002-2007,0.13526289560304422,5.822201460319274e-15
119,0.25,40,118,7847,TRUE,2008-2015,0.0648247574896024,9.137916265272474e-5
120,0.25,40,118,7819,TRUE,1985-1991,-0.026347333617627592,0.1483085446884894
120,0.25,40,118,7819,TRUE,1992-2001,0.011288596440754198,0.5051868766082476
120,0.25,40,118,7819,TRUE,2002-2007,0.11346610349950603,9.124699080236021e-10
120,0.25,40,118,7819,TRUE,2008-2015,0.054883845357497504,0.0017283266790835829
121,0.25,40,118,7873,TRUE,1985-1991,-0.03502635684062907,0.046892924865499314
121,0.25,40,118,7873,TRUE,1992-2001,0.006124352857527847,0.707213643281277
121,0.25,40,118,7873,TRUE,2002-2007,0.12884808933247566,3.7128943829651874e-13
121,0.25,40,118,7873,TRUE,2008-2015,0.04882794119945443,0.003562022564011831
122,0.25,40,118,7803,TRUE,1985-1991,-0.010685221544021888,0.551850960406986
122,0.25,40,118,7803,TRUE,1992-2001,0.024057001513947917,0.1436533114120828
122,0.25,40,118,7803,TRUE,2002-2007,0.13002099972082617,3.939242439421594e-13
122,0.25,40,118,7803,TRUE,2008-2015,0.05767582704279317,6.855465528720683e-4
