stat_rec,year,mean_ln_B_obs_ry,n_hauls_ry,B_lag_neighbour,n_neighbours_used
41F7,1994,10.515161534397446,3,10.46035314403599,4
42E7,1994,12.303271068029998,1,11.795274616086827,4
42E8,1994,10.939526199304762,2,11.938132621449714,4
42E9,1994,12.293618688671586,3,11.987785959275083,4
42F0,1994,13.397842432819889,2,12.873245839670314,4
42F1,1994,12.166988900058483,2,12.373213002690662,4
42F2,1994,11.673032137048747,2,12.253995813992738,4
42F3,1994,11.338403624043988,2,11.58646865778413,4
42F4,1994,11.860536269126326,3,11.875831095060517,4
42F5,1994,11.976876794083848,3,11.327720284601856,4
42F6,1994,10.206331391268282,2,11.070463300957753,4
42F7,1994,9.770566839812258,2,10.92932352188615,4
43E8,1994,12.022885656801709,3,12.15109341663633,4
43E9,1994,12.100468040517885,3,12.156157970105715,4
43F0,1994,11.954739149679153,2,12.731629212712017,4
43F1,1994,12.068853162082796,2,12.410546387006129,4
43F2,1994,13.244068815137112,2,11.249706826718924,4
43F3,1994,10.71427345620658,2,11.544006207691421,4
43F4,1994,11.32260525109916,3,11.549082331756559,4
43F5,1994,11.388682995330313,2,11.776049811463805,4
43F6,1994,11.866752440728796,2,11.165506966923022,4
43F7,1994,11.129048721150074,2,10.589703051551695,4
44E6,1994,12.210201846883969,2,12.645498728346464,3
44E7,1994,11.85661362435549,2,12.999462552483763,4
44E8,1994,13.707765802367183,2,12.423476537136924,4
44E9,1994,12.353388385270414,3,12.99087353061369,4
44F0,1994,13.359353215427497,3,11.844706650179074,4
44F1,1994,12.276388683149769,2,12.150945097922197,4
44F2,1994,10.542668551537574,2,11.720051057635903,4
44F3,1994,10.27094714048542,2,11.67342926494658,4
44F4,1994,12.23283660636301,2,11.901634027962523,4
44F5,1994,11.937964759943418,1,12.254785953278644,4
45E6,1994,13.484123290358058,2,12.970349764347079,3
45E7,1994,12.595759270325846,2,13.226710893166265,4
45E8,1994,13.461018482120089,2,12.859463147487212,4
45E9,1994,12.795907064142199,3,12.417379109502964,4
45F0,1994,10.79431038261696,3,12.639218209853297,4
45F1,1994,12.632905462640919,2,11.59697965527004,4
45F2,1994,11.08879959177131,2,12.140562682655101,4
45F3,1994,13.20393844567916,2,11.854502053199575,4
45F4,1994,14.07501896032209,1,11.922741178186769,4
46E6,1994,NA,0,13.721437165197308,3
46E7,1994,14.105088175831423,2,12.836426584280636,3
46E8,1994,12.338420453113617,2,13.649783942183177,4
46E9,1994,13.060799188004388,3,12.388376818287874,4
46F0,1994,11.768707097202572,3,11.983457576330812,4
46F1,1994,12.22841996354212,3,12.155910168741562,4
46F2,1994,12.182738270762755,4,11.759376438435087,4
46F3,1994,11.983242520219482,3,12.369340093553436,4
47E6,1994,NA,0,13.840094102616934,2
47E7,1994,13.575100029402446,2,14.038659049304115,2
47E8,1994,13.972229922776808,2,12.854664380403056,3
47E9,1994,12.650472658693108,3,12.98546641571182,4
47F0,1994,11.850300771159782,1,12.1697738415108,4
47F1,1994,12.039289844360002,2,11.814871867025094,4
47F2,1994,11.737043678207433,2,12.197838395055658,4
47F3,1994,12.353639979564399,2,12.05505817025649,4
48E7,1994,NA,0,13.575100029402446,1
48E8,1994,NA,0,13.515382851841554,2
48E9,1994,13.058535780906299,1,12.435549212240314,2
48F0,1994,12.22062576578752,2,12.002461655598301,4
48F1,1994,11.443723055191036,2,12.170281426670552,4
48F2,1994,12.215685485535474,2,11.792519490415234,4
48F3,1994,12.284260997063576,2,12.165451449999665,4
49E8,1994,NA,0,NA,0
49E9,1994,NA,0,12.357911398021194,2
49F0,1994,11.657287015136088,2,12.534714431570444,3
49F1,1994,12.205524610999216,2,11.853018102456158,4
49F2,1994,11.705050231198893,2,12.027420498342625,4
49F3,1994,12.387430103699892,3,11.85431440961781,4
50E8,1994,NA,0,12.91077717652473,1
50E9,1994,NA,0,13.044385047224662,2
50F0,1994,13.177992917924595,2,11.759402996257489,3
50F1,1994,12.606012108298618,2,12.395692047839987,4
50F2,1994,11.301041793135916,2,12.157352527271723,4
50F3,1994,12.126904617072853,2,11.896241320137806,4
51E8,1994,NA,0,11.962843520931244,2
51E9,1994,12.91077717652473,1,11.014909865337758,1
51F0,1994,11.014909865337758,2,12.995659654583182,3
51F1,1994,12.898208869300223,2,12.247589511019374,4
51F2,1994,12.191443152516525,1,12.233041846951902,4
31F1,1995,NA,0,11.422603367426793,4
31F2,1995,13.130758824588472,1,11.652168885062311,3
32F1,1995,11.31015064525272,2,10.447809208972865,3
32F2,1995,11.422116245889796,2,11.689768215234556,4
32F3,1995,12.224239764044416,1,11.29530195552026,4
33F1,1995,9.827387753976186,2,10.383348833557651,4
33F2,1995,10.093923627052614,1,11.21667472554649,4
33F3,1995,13.164643218522645,2,11.213263849599404,4
33F4,1995,10.500524730615988,2,12.273740399869892,4
34F1,1995,9.67676937812794,2,9.889109769950863,4
34F2,1995,10.452551683797331,1,10.234217976497506,4
34F3,1995,12.034367276684598,2,11.757827488858862,4
34F4,1995,11.67171134022791,2,11.556551835721462,4
35F0,1995,9.692649794750919,2,10.325756118884215,4
35F1,1995,9.583849847279021,2,9.753821392891313,4
