stat_rec,n_hauls,mean_D,mean_size_CV,year_min_seen,year_max_seen,mean_annual_hours_total
45E7,58,0.5803192865602262,0.5127614028716941,1985,2015,4401.935483870967
45E8,69,0.519782909108551,0.5015916633861741,1985,2015,16788.064516129034
45E9,68,0.5645300511900341,0.4531470291966251,1985,2015,13744.290322580644
45F0,65,0.756877389852706,0.4021867832628416,1985,2015,38805.70967741936
45F1,67,0.6947989390066424,0.4463689298454119,1985,2015,10352.322580645163
45F2,66,0.6100905039608947,0.4858293827291136,1985,2015,4106.161290322581
45F3,69,0.6287459792013351,0.546614014578303,1985,2015,6699.645161290323
45F4,61,0.6771089761014808,0.60688211150255,1985,2015,14311.193548387097
45F9,57,0.4998578179894947,0.68407198388287,1985,2015,NA
45G0,78,0.49032027548453516,0.6277043349229744,1985,2015,NA
45G1,94,0.5331863315989405,0.576671571946863,1985,2015,NA
46E6,18,0.5896448144209464,0.39473621952630933,1985,2015,1769.2258064516125
46E7,57,0.5738954729105924,0.44785170635030114,1985,2015,1179.6774193548385
46E8,68,0.5676898013675272,0.4437692101508665,1985,2015,5708.4516129032245
46E9,67,0.6110015018535466,0.40486542786381624,1985,2015,10942.483870967742
46F0,69,0.7121958498442533,0.38255663409002444,1985,2015,19514.161290322583
46F1,68,0.691493217157126,0.46371730114192916,1985,2015,4628.354838709677
46F2,70,0.5906089706921076,0.55517950586393106,1985,2015,1529.2903225806454
46F3,65,0.6894056824071183,0.6500147252966952,1985,2015,11744.935483870966
46G0,94,0.4852605662614178,0.5922289995426769,1985,2015,NA
46G1,6,0.6145371759620921,0.45805635653186033,1987,1997,NA
47E6,16,0.5031391905733815,0.385701585346708,2005,2015,4865.096774193548
47E7,59,0.5846077987953472,0.38438571402100186,1985,2015,1287.6206896551726
47E8,62,0.5735351006193579,0.3721438378615618,1985,2015,2219.290322580645
47E9,63,0.6390350542910687,0.3819514631274684,1985,2015,8197.096774193551
47F0,65,0.6865364717877905,0.44130850642875025,1985,2015,8943.096774193551
47F1,66,0.6341741094399921,0.5380617283068476,1985,2015,2933.0322580645166
47F2,60,0.7189034860744016,0.5187597137950526,1985,2015,3984.58064516129
47F3,58,0.7513910200009707,0.6162975678409142,1985,2015,11957
48E7,31,0.5210468684154583,0.4158189939249207,1985,2015,2137.2903225806454
48E8,48,0.5857828830004447,0.40459472499665483,1985,2015,5542.580645161291
48E9,61,0.6572107688489313,0.4347110474103691,1985,2015,3773.032258064517
48F0,67,0.654124521953825,0.5325451611784763,1985,2015,5167.774193548387
48F1,65,0.5955887825263905,0.6106723565252324,1985,2015,1547.5806451612905
48F2,60,0.6952392441454774,0.5865076878953052,1985,2015,1653.2903225806451
48F3,57,0.7332652657991489,0.5624709606817058,1985,2015,11327.709677419354
49E7,6,0.6417777623794342,0.5976089008510667,2010,2015,3749.096774193548
49E8,39,0.5500675815463588,0.4240282902845224,1985,2015,1868.6451612903227
49E9,45,0.7032059453458549,0.4136222340399655,1985,2015,7107.322580645163
49F0,58,0.6776704216531904,0.4738421841614331,1985,2015,13702.709677419358
49F1,61,0.6464699397477844,0.5954679643671447,1985,2015,6364.16129032258
49F2,60,0.5878720803817207,0.9070089832122032,1985,2015,2180.3870967741937
49F3,60,0.6247849855146566,0.5675805003101893,1985,2015,10904.419354838708
50E7,6,0.67929043514925,0.4475787169197817,2010,2015,6799.709677419354
50E8,33,0.660511958750722,0.5009848157729412,1985,2015,7463.5161290322585
50E9,45,0.5477215406825869,0.5576136123550473,1985,2015,15558.58064516129
50F0,59,0.6962885325197905,0.5427592923698502,1985,2015,6911.032258064517
50F1,56,0.7416314604558395,0.5555152335215717,1985,2015,4362.5161290322585
50F2,56,0.6388281505242663,0.6290702124364034,1985,2015,4540.645161290323
50F3,54,0.7112701485915199,0.595402936502556,1985,2015,5532.1612903225805
51E8,39,0.6473057736904958,0.5283881040361735,1985,2015,8331.677419354837
51E9,47,0.7010594741565273,0.43742749571044987,1985,2015,7924.580645161292
51F0,53,0.5998583239833372,0.5965705234740512,1985,2015,4653.225806451613
51F1,53,0.7130181228216357,0.5489290434900227,1985,2015,5468.322580645162
51F2,53,0.6234596871035215,0.6678710996491565,1985,2015,9382.741935483871
