variable,stat_rec,n_years_paired,correlation,p_value
D vs fishing_hours,49E9,26,-0.15032621842396007,0.46355890403517896
D vs fishing_hours,49F0,31,0.1601737655512366,0.3893820922945407
D vs fishing_hours,49F1,31,-0.3663690025900352,0.042649304483077854
D vs fishing_hours,49F2,31,0.2019810177196407,0.2758682747342985
D vs fishing_hours,49F3,31,-0.04946657620238264,0.7915781901880956
D vs fishing_hours,50E7,6,0.5602701214927988,0.24752994421199048
D vs fishing_hours,50E8,24,0.001204721578540993,0.9955423853622138
D vs fishing_hours,50E9,29,0.4738977828415009,0.009405576212642743
D vs fishing_hours,50F0,31,-0.016838280155909165,0.9283626116149446
D vs fishing_hours,50F1,30,-0.23934065774306634,0.20272377688608226
D vs fishing_hours,50F2,31,0.046174514372174465,0.8051749689498031
D vs fishing_hours,50F3,30,-0.12395579756983532,0.514008282116764
D vs fishing_hours,51E8,26,0.44932319572468665,0.02129104139990109
D vs fishing_hours,51E9,30,-0.4682334328837559,0.009066564768783179
D vs fishing_hours,51F0,31,0.2776723872523162,0.1304315878852317
D vs fishing_hours,51F1,31,0.05445276610149929,0.7710994596503862
D vs fishing_hours,51F2,30,-0.03058356340287811,0.872540434793316
size_CV vs fishing_hours,31F1,21,0.14232179103761206,0.538284107787194
size_CV vs fishing_hours,31F2,30,0.06070509867650604,0.7499833693215842
size_CV vs fishing_hours,31F3,5,0.7552184481588549,0.1399185613241754
size_CV vs fishing_hours,32F1,31,-0.21293546997625729,0.2501010965045367
size_CV vs fishing_hours,32F2,29,0.25094693434456367,0.18915772257053803
size_CV vs fishing_hours,32F3,27,0.14767383805177953,0.462296101200803
size_CV vs fishing_hours,33F1,31,-0.3860367721454397,0.0319554051568569
size_CV vs fishing_hours,33F2,31,-0.25334531971112506,0.16908275965323025
size_CV vs fishing_hours,33F3,31,0.16469538039149154,0.37595709655640397
size_CV vs fishing_hours,33F4,31,-0.2573259911230254,0.16225805130377494
size_CV vs fishing_hours,34F1,30,-0.3910164998408508,0.03263251041762824
size_CV vs fishing_hours,34F2,31,0.016386990498856696,0.9302778942867468
size_CV vs fishing_hours,34F3,31,0.03847008918918582,0.837207948133583
size_CV vs fishing_hours,34F4,31,-0.2346213651340702,0.20392206522127154
size_CV vs fishing_hours,35F0,31,0.19843893544745875,0.2845539424255434
size_CV vs fishing_hours,35F1,30,-0.01441560364875943,0.9397323670467393
size_CV vs fishing_hours,35F2,31,0.04135956812701169,0.8251613841889722
size_CV vs fishing_hours,35F3,31,0.18634739863098215,0.3155094008169708
size_CV vs fishing_hours,35F4,31,-0.26983436933594984,0.14209762352028926
size_CV vs fishing_hours,35F5,4,0.4002235372832776,0.5997764627167225
size_CV vs fishing_hours,36F0,31,-0.11193865765145072,0.5488226307516986
size_CV vs fishing_hours,36F1,31,-0.012506067195182331,0.9467633090447128
size_CV vs fishing_hours,36F2,31,-0.16947881808620616,0.3620536863925724
size_CV vs fishing_hours,36F3,31,-0.00891489431774442,0.9620373273185121
size_CV vs fishing_hours,36F4,31,0.3329010911940153,0.06725917336455664
size_CV vs fishing_hours,36F5,31,0.19347637786920738,0.2970142911660199
size_CV vs fishing_hours,36F6,31,-0.3877482863299872,0.031138626769482872
size_CV vs fishing_hours,36F7,31,0.051317453086800566,0.7839597733446209
size_CV vs fishing_hours,36F8,3,0.8423359818573773,0.3623597569084989
size_CV vs fishing_hours,37E9,15,0.6883223890495045,0.004552750647410653
size_CV vs fishing_hours,37F0,31,0.10959474318957002,0.5572745716646301
size_CV vs fishing_hours,37F1,31,0.18380795681676254,0.32226687991036884
size_CV vs fishing_hours,37F2,31,-0.18370133266178612,0.322552549586438
size_CV vs fishing_hours,37F3,31,-0.07207281372312098,0.700018348115969
size_CV vs fishing_hours,37F4,31,0.00906696466959463,0.9613902346795851
size_CV vs fishing_hours,37F5,31,0.009712529134010908,0.9586434896283818
