stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change
40E9,decade2_minus_decade1,1985-1994,1995-2004,4841.4,2767.4,-2073.9999999999995,-42.83884826703019
40F0,decade2_minus_decade1,1985-1994,1995-2004,6417.1,2406.1,-4011.0000000000005,-62.50486980100046
40F1,decade2_minus_decade1,1985-1994,1995-2004,6778,3119.2,-3658.8,-53.980525228681024
40F2,decade2_minus_decade1,1985-1994,1995-2004,7411.3,3562,-3849.3,-51.9382564462375
40F3,decade2_minus_decade1,1985-1994,1995-2004,11901.1,6645.3,-5255.8,-44.16230432481031
40F4,decade2_minus_decade1,1985-1994,1995-2004,17165.4,14881.9,-2283.500000000002,-13.302923322497591
40F5,decade2_minus_decade1,1985-1994,1995-2004,28984.7,29477.6,492.8999999999978,1.700552360383229
40F6,decade2_minus_decade1,1985-1994,1995-2004,25138.4,23343.5,-1794.9000000000015,-7.140072558317161
40F7,decade2_minus_decade1,1985-1994,1995-2004,38829.6,27046.5,-11783.099999999999,-30.345664132517456
40F8,decade2_minus_decade1,1985-1994,1995-2004,3433.1,17857.8,14424.699999999999,420.16544813725204
41E6,decade2_minus_decade1,1985-1994,1995-2004,4388.6,15606.9,11218.3,255.62366130428836
41E7,decade2_minus_decade1,1985-1994,1995-2004,67036.7,40463.6,-26573.1,-39.63963023239509
41E8,decade2_minus_decade1,1985-1994,1995-2004,8017.2,5971.5,-2045.6999999999998,-25.516389762011674
41E9,decade2_minus_decade1,1985-1994,1995-2004,2290,2690.3,400.3000000000002,17.480349344978173
41F0,decade2_minus_decade1,1985-1994,1995-2004,6123,3086.3,-3036.7,-49.59496978605259
41F1,decade2_minus_decade1,1985-1994,1995-2004,5365.4,2117.7,-3247.7,-60.53043575502293
41F2,decade2_minus_decade1,1985-1994,1995-2004,4574.5,3067.7,-1506.8000000000002,-32.93911902940213
41F3,decade2_minus_decade1,1985-1994,1995-2004,8167.1,6004.4,-2162.7000000000007,-26.480635721369893
41F4,decade2_minus_decade1,1985-1994,1995-2004,12379.6,7642.6,-4737,-38.264564283175545
41F5,decade2_minus_decade1,1985-1994,1995-2004,39226.3,28181.5,-11044.800000000003,-28.156619410956427
41F6,decade2_minus_decade1,1985-1994,1995-2004,36384.9,27433.8,-8951.100000000002,-24.601139483686918
41F7,decade2_minus_decade1,1985-1994,1995-2004,41046.1,32701.7,-8344.399999999998,-20.329337013747953
41F8,decade2_minus_decade1,1985-1994,1995-2004,1929.4,2976.7,1047.2999999999997,54.281123665388186
42E7,decade2_minus_decade1,1985-1994,1995-2004,15970.3,6319.5,-9650.8,-60.42967257972611
42E8,decade2_minus_decade1,1985-1994,1995-2004,6934.5,1851.5,-5083,-73.30016583747927
42E9,decade2_minus_decade1,1985-1994,1995-2004,3060.4,2289.2,-771.2000000000003,-25.199320350281017
42F0,decade2_minus_decade1,1985-1994,1995-2004,9410.6,7023.9,-2386.7000000000007,-25.361826025970718
42F1,decade2_minus_decade1,1985-1994,1995-2004,2765.9,1164.2,-1601.7,-57.908818106222206
42F2,decade2_minus_decade1,1985-1994,1995-2004,3884.9,2861,-1023.9000000000001,-26.355890756518832
42F3,decade2_minus_decade1,1985-1994,1995-2004,9803.3,4162.6,-5640.699999999999,-57.5387879591566
42F4,decade2_minus_decade1,1985-1994,1995-2004,11510.4,6803.2,-4707.2,-40.89519043647484
42F5,decade2_minus_decade1,1985-1994,1995-2004,12110,7666.4,-4443.6,-36.69364161849712
42F6,decade2_minus_decade1,1985-1994,1995-2004,28019,27817.3,-201.70000000000073,-0.719868660551771
42F7,decade2_minus_decade1,1985-1994,1995-2004,41149.2,33562,-7587.199999999997,-18.438268544710464
42F8,decade2_minus_decade1,1985-1994,1995-2004,7404.3,10141.6,2737.3,36.96905852004916
43E7,decade2_minus_decade1,1985-1994,1995-2004,2301.8,686.8,-1615.0000000000002,-70.16248153618908
43E8,decade2_minus_decade1,1985-1994,1995-2004,19754.5,5166.7,-14587.8,-73.84545293477436
43E9,decade2_minus_decade1,1985-1994,1995-2004,6899.7,4363,-2536.7,-36.765366610142465
43F0,decade2_minus_decade1,1985-1994,1995-2004,6485,2501.8,-3983.2,-61.42174248265228
43F1,decade2_minus_decade1,1985-1994,1995-2004,2761.8,995.6,-1766.2000000000003,-63.951046419002104
43F2,decade2_minus_decade1,1985-1994,1995-2004,2570.2,1728.9,-841.2999999999997,-32.73286125593338
43F3,decade2_minus_decade1,1985-1994,1995-2004,6752.5,3302.5,-3450,-51.09218807848945
