stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change,abs_change_magnitude,change_tercile,change_class
34F1,decade3_minus_decade1,1985-1994,2005-2015,3643.4,560.1818181818181,-3083.218181818182,-84.62475110660873,3083.218181818182,1,stable
34F2,decade3_minus_decade1,1985-1994,2005-2015,21598.9,22103.363636363636,504.4636363636346,2.3355987405082415,504.4636363636346,1,stable
34F3,decade3_minus_decade1,1985-1994,2005-2015,18665.5,18392.454545454544,-273.04545454545587,-1.4628349336768685,273.04545454545587,1,stable
34F4,decade3_minus_decade1,1985-1994,2005-2015,19793.4,26879.18181818182,7085.781818181818,35.798709762758385,7085.781818181818,2,moderate
34F5,decade3_minus_decade1,1985-1994,2005-2015,180.2,888.1111111111111,707.911111111111,392.84745344678754,707.911111111111,1,stable
35F0,decade3_minus_decade1,1985-1994,2005-2015,8294,7025.636363636364,-1268.363636363636,-15.292544446149458,1268.363636363636,1,stable
35F1,decade3_minus_decade1,1985-1994,2005-2015,5450.4,2354.5454545454545,-3095.854545454545,-56.80050171463646,3095.854545454545,1,stable
35F2,decade3_minus_decade1,1985-1994,2005-2015,18139.7,12032.727272727272,-6106.972727272729,-33.66633807214413,6106.972727272729,2,moderate
35F3,decade3_minus_decade1,1985-1994,2005-2015,24955.9,14973.636363636364,-9982.263636363637,-39.99961386431119,9982.263636363637,2,moderate
35F4,decade3_minus_decade1,1985-1994,2005-2015,25565.7,26377.545454545456,811.8454545454551,3.175526015503018,811.8454545454551,1,stable
35F5,decade3_minus_decade1,1985-1994,2005-2015,6691.1,36526.36363636364,29835.26363636364,445.89475028565766,29835.26363636364,3,large_change
35F6,decade3_minus_decade1,1985-1994,2005-2015,207.6,6273.818181818182,6066.218181818182,2922.0704151339987,6066.218181818182,2,moderate
35F7,decade3_minus_decade1,1985-1994,2005-2015,31,343,312,1006.4516129032259,312,1,stable
35F8,decade3_minus_decade1,1985-1994,2005-2015,13.9,650.6,636.7,4580.575539568345,636.7,1,stable
36E9,decade3_minus_decade1,1985-1994,2005-2015,544.9,92.11111111111111,-452.7888888888889,-83.09577700291594,452.7888888888889,1,stable
36F0,decade3_minus_decade1,1985-1994,2005-2015,9933.4,2879.2727272727275,-7054.127272727272,-71.01422748230488,7054.127272727272,2,moderate
36F1,decade3_minus_decade1,1985-1994,2005-2015,12680.1,3280.5454545454545,-9399.554545454546,-74.12839445630985,9399.554545454546,2,moderate
36F2,decade3_minus_decade1,1985-1994,2005-2015,23013.2,12250.636363636364,-10762.563636363637,-46.766914798305486,10762.563636363637,3,large_change
36F3,decade3_minus_decade1,1985-1994,2005-2015,16798.7,15279.90909090909,-1518.7909090909106,-9.041121688528937,1518.7909090909106,1,stable
36F4,decade3_minus_decade1,1985-1994,2005-2015,23563.4,21479.090909090908,-2084.3090909090934,-8.845536259237178,2084.3090909090934,1,stable
36F5,decade3_minus_decade1,1985-1994,2005-2015,20801.4,19339.18181818182,-1462.2181818181816,-7.029421970723997,1462.2181818181816,1,stable
36F6,decade3_minus_decade1,1985-1994,2005-2015,14867.6,50642.63636363636,35775.03636363636,240.62415160238615,35775.03636363636,3,large_change
