stat_rec,n_hauls,mean_abs_residual,mean_annual_hours_total,cooks_distance,leverage,flagged_cooks
44E9,66,1.4556043932104663,9177.580645161292,0.002548028180033702,0.0075221912354018336,FALSE
43E9,65,1.2130020254191858,4008.4838709677415,0.0024393638856190685,0.010698153452864545,FALSE
50F0,59,1.4453174678363339,6911.032258064517,0.0022962925162825732,0.00866958494322725,FALSE
41F2,62,1.2243737355008448,2919,0.0022832351795163326,0.011621690796263295,FALSE
42F2,67,1.231996854184886,2741.8709677419356,0.0020168465580053243,0.011780202253562033,FALSE
48F2,60,1.425588953810899,1653.2903225806451,0.0018052730276393685,0.012805719404415184,FALSE
37F5,95,1.3918392881348993,22124.290322580648,0.0018015723132187057,0.008309343630457102,FALSE
45E9,68,1.4274079319644204,13744.290322580644,0.0017017443181423118,0.006373480374210585,FALSE
42F0,60,1.4271692861516974,6588.322580645162,0.0016867660720026824,0.00886409381714357,FALSE
42F5,76,1.2069245039181935,8067.16129032258,0.0016673360237864122,0.00803646891442343,FALSE
36F6,91,1.2883464572148717,39415.967741935485,0.0016471370642534057,0.028849182156704446,FALSE
40E8,61,1.2025802983265002,9065.741935483868,0.0016151438069022443,0.007569825481214279,FALSE
44F0,65,1.4239241849206725,12888.258064516132,0.0015712900589586578,0.006470413779900335,FALSE
51E9,47,1.2121840056962723,7924.580645161292,0.0015376090704569234,0.00810916224476824,FALSE
38F5,91,1.423145391647719,10696.322580645163,0.001507374002258159,0.006967631599559464,FALSE
43F5,62,1.1962811176095185,11198.064516129034,0.00146547675865043,0.006822208442946027,FALSE
43E8,69,1.213329213706332,8223.096774193551,0.001453083111060433,0.007958701736863782,FALSE
48F3,57,1.4171708224792785,11327.709677419354,0.0013595977395861884,0.00678768348478224,FALSE
39F0,68,1.41531120168057,8435.709677419356,0.0013060233312707278,0.007855589314850524,FALSE
38F0,70,1.4119471845962746,12652.58064516129,0.0012645650575793623,0.006506690644290101,FALSE
46F3,65,1.4129647623588306,11744.935483870966,0.001264348952963865,0.00668507910764654,FALSE
37F3,92,1.4073169793382316,14877.419354838708,0.0012633561901533182,0.0063291799890080195,FALSE
38F2,67,1.2160056102395589,9138.806451612903,0.0012411286239872217,0.007538600313838051,FALSE
45F3,69,1.4106540768559654,6699.645161290323,0.001199700621144942,0.008796118552868997,FALSE
46F1,68,1.4082092658742293,4628.354838709677,0.0011550663573567216,0.010212191822611953,FALSE
