stat_rec,random_intercept,n_hauls,unpooled_intercept,model_id,shrinkage_ratio
32F1,0.10359213051441703,76,0.26176813178502356,full_spatial,0.3957400383614756
40F3,0.0699426315756568,77,0.14049888698307217,full_spatial,0.4978162679970821
39F1,-0.08000906320652319,77,-0.04328032704020854,full_spatial,1.8486242752323176
42F6,0.012404094795184981,77,0.16046168188200838,full_spatial,0.07730253509561262
39F2,-0.05858436815096799,78,0.03067784519417822,full_spatial,-1.9096637257327849
38F4,-0.19357608324142614,78,-0.14581431478696447,full_spatial,1.327551986402994
39F5,-0.17187307814977462,78,-0.09545666925695863,full_spatial,1.800535043676326
33F4,-0.11138869655930564,78,0.005639864691831803,full_spatial,-19.75024271781369
36F7,-0.3381202384009466,78,-0.21992808751442702,full_spatial,1.5374127162305558
41F4,0.10628763485822408,79,0.17267631602586503,full_spatial,0.6155310543126444
40F4,0.11938852430951023,79,0.3184346431220757,full_spatial,0.3749231652026668
39F4,-0.08771764704974519,82,-0.04973398156411498,full_spatial,1.7637366704023736
33F3,-0.07601666523804852,82,0.04106338382163582,full_spatial,-1.8512031441012475
34F3,-0.07551490694581388,84,0.04629874885578418,full_spatial,-1.6310355854546958
39F6,-0.2737213077326809,87,-0.19607303351490102,full_spatial,1.396017100494744
35F4,-0.1765066176199606,87,-0.058421159656738754,full_spatial,3.021278910878328
34F4,-0.10454249106692785,89,0.041240137245497306,full_spatial,-2.5349695236123893
37F4,-0.24895156615736333,90,-0.167710930660902,full_spatial,1.4844087095355958
38F5,-0.22381749607980742,91,-0.15102122850673785,full_spatial,1.4820267209640778
36F6,-0.3070137081714394,91,-0.19758788763877308,full_spatial,1.5538083424056681
37F3,-0.15304887340754594,92,-0.061898757004468424,full_spatial,2.472567799648989
36F3,-0.22122976536811145,92,-0.17819273290268942,full_spatial,1.2415195713336102
36F4,-0.2642930318304184,93,-0.18648647270437224,full_spatial,1.417223608756808
37F6,-0.2146292328329079,94,-0.05526876811050815,full_spatial,3.883372837327649
37F5,-0.26827247273095733,95,-0.16815456467235326,full_spatial,1.5953921515819827
38F6,-0.2536080933214462,99,-0.1656734264174239,full_spatial,1.5307711007465115
39F7,-0.30426362776147187,101,-0.17486374890674225,full_spatial,1.7400040297874475
36F5,-0.2906064732639558,104,-0.2042060432249308,full_spatial,1.4231041778908367
37F7,-0.32149832485189206,105,-0.21909109684008832,full_spatial,1.4674184824888135
38F7,-0.31641042011132553,111,-0.1956531471852358,full_spatial,1.6172007691333585
47E6,-0.017519817163803793,16,-0.04182669813359094,simple_nonspatial,0.4188668469083306
46E6,0.06577647474620665,18,0.07955095225398166,simple_nonspatial,0.8268471071999572
37E9,0.023484967513980368,20,0.0783939582737047,simple_nonspatial,0.29957624326080007
48E7,0.18896182852916887,31,0.22723886919721323,simple_nonspatial,0.8315559270151756
50E8,0.13020879352419704,33,0.1891100854301956,simple_nonspatial,0.6885343699570151
49E8,-0.006376929880379284,39,-0.02933726468508473,simple_nonspatial,0.21736620468306167
51E8,0.165020684009204,39,0.24184849807922867,simple_nonspatial,0.6823308199960119
38F8,-0.11582340989560577,40,-0.15019652962953792,simple_nonspatial,0.7711457127623789
39F8,-0.08422144840751389,43,-0.09180489577883083,simple_nonspatial,0.9173960461805175
49E9,-0.05995913966938635,45,-0.06919598979639287,simple_nonspatial,0.8665117710695999
50E9,0.06536637111423667,45,0.10525294563659367,simple_nonspatial,0.6210407767581805
35F0,0.11429538212374891,47,0.14523397747790567,simple_nonspatial,0.7869741234700852
51E9,0.13743674257749,47,0.1883746250333293,simple_nonspatial,0.7295926537513914
32F3,0.030418374551629355,48,0.06241997612498302,simple_nonspatial,0.48731794595247663
34F1,0.21990986083327677,48,0.2212419867354559,simple_nonspatial,0.9939788738935346
42E7,0.14689266053692443,48,0.177314243951326,simple_nonspatial,0.8284312487452925
48E8,0.03975961698023943,48,0.047593782132826425,simple_nonspatial,0.8353951965674187
51F0,0.17873372530587586,53,0.21945492568261146,simple_nonspatial,0.814443898900547
51F1,0.0555157369600205,53,0.07729682147092187,simple_nonspatial,0.7182150042340983
51F2,0.09255555517952484,53,0.13532492848484493,simple_nonspatial,0.6839505198030839
31F1,0.028714440766571318,54,0.09101244460870117,simple_nonspatial,0.3155001592367523
50F3,0.03922833813868925,54,0.05535998983008459,simple_nonspatial,0.7086045040667831
47E7,0.0839068266810046,55,0.05905628832551609,simple_nonspatial,1.420794111179376
50F1,-0.0021785029901784697,56,-0.003419604058711261,simple_nonspatial,0.6370629326599517
50F2,0.014561527280276843,56,0.017003534031123296,simple_nonspatial,0.8563823998954218
35F1,0.04732058472064911,57,0.028616830592471994,simple_nonspatial,1.6535927893111044
46E7,-0.024989192954482504,57,-0.0775463428150553,simple_nonspatial,0.32224850389244863
48F3,-0.021953943078579567,57,-0.00399587685050076,simple_nonspatial,5.494149069140686
45E7,-0.07701799690510062,58,-0.10987359606750145,simple_nonspatial,0.7009691105202763
47F3,-0.003559759676957071,58,0.015535941500794822,simple_nonspatial,-0.2291306051052621
49F0,-0.13784013535280762,58,-0.14398271893232426,simple_nonspatial,0.957338049836357
39E8,0.12142274650639623,59,0.2000103999534928,simple_nonspatial,0.6070821644006008
42F1,-0.045394697758756423,59,-0.08808301136100422,simple_nonspatial,0.5153626909133285
50F0,-0.013787483814329708,59,-0.012497384844799665,simple_nonspatial,1.1032295144585287
42E8,0.18382045694731325,60,0.17893264117563162,simple_nonspatial,1.0273165127366783
42F0,-0.029526993175723645,60,-0.02793030099406139,simple_nonspatial,1.0571670237997703
43F0,-0.01525834981353502,60,-0.043983662757478725,simple_nonspatial,0.3469094854075239
45E6,-0.04702585749133078,60,-0.10497169242156973,simple_nonspatial,0.44798608469103657
47F2,-0.14525871563678433,60,-0.18554887678369628,simple_nonspatial,0.7828595793986928
48F2,-0.028283356092202717,60,-0.06871448072483645,simple_nonspatial,0.4116069246810136
49F2,-0.05752058281518412,60,-0.1000656611028457,simple_nonspatial,0.5748283894918307
49F3,0.02976190348654579,60,0.058359881893050886,simple_nonspatial,0.5099719622648798
38E9,0.0827421630555078,61,0.1495318257735972,simple_nonspatial,0.5533414885255655
40E8,0.05667180047714296,61,0.06158572094206483,simple_nonspatial,0.9202100683445028
44E6,-0.17500297110484075,61,-0.18565450444908557,simple_nonspatial,0.9426271214056865
45F4,0.07989871829053508,61,0.1294897433773114,simple_nonspatial,0.6170273892483021
48E9,-0.06306181214262728,61,-0.07547401139047213,simple_nonspatial,0.8355434007127416
49F1,-0.10758312195118495,61,-0.12814151620396963,simple_nonspatial,0.8395649211762034
33F1,0.2367020087246739,62,0.27738312509182445,simple_nonspatial,0.8533396133824523
41F2,0.10673641530652901,62,0.11278867736656698,simple_nonspatial,0.9463398082028401
43F5,0.03940051001531158,62,0.054408131935153446,simple_nonspatial,0.7241658298849745
43F7,0.10536543959327839,62,0.1718216111095179,simple_nonspatial,0.6132257689407835
47E8,-0.005342991929914201,62,-0.029264457734140197,simple_nonspatial,0.18257614675296086
31F2,-0.023712999914757376,63,0.03545141562991402,simple_nonspatial,-0.6688872501539338
34F2,0.09154732063998593,63,0.13452190285304266,simple_nonspatial,0.6805384007985379
41F3,0.20528540132731185,63,0.24222197888984684,simple_nonspatial,0.8475093889835146
41F6,0.03061393780184211,63,0.05965627855556214,simple_nonspatial,0.513172100960491
43F1,0.002947818006633211,63,-0.03854863912450902,simple_nonspatial,-0.07647009268244191
47E9,-0.018235459649016572,63,-0.003460254798941534,simple_nonspatial,5.269975972461526
32F2,0.040672545122807435,64,0.09465370743791102,simple_nonspatial,0.42969838396966087
41F1,0.1033742905543366,64,0.1049954047156122,simple_nonspatial,0.9845601417922384
43F6,0.021417387471421214,64,0.0455173571871486,simple_nonspatial,0.4705323154716947
44E8,-0.05750892577357898,64,-0.0575337258456226,simple_nonspatial,0.9995689472274025
44F1,-0.04160255519631185,64,-0.07293996035687635,simple_nonspatial,0.5703671210233913
35F2,0.039963645270355945,65,0.06254307072503322,simple_nonspatial,0.638977984404598
36F0,0.037671398057193176,65,0.051973023970529254,simple_nonspatial,0.7248259804654495
39E9,0.040941832693288015,65,0.08912164933438503,simple_nonspatial,0.45939267281369517
