"stat_rec","lon","lat","bearing_resid","n_local_pairs_resid","bearing_blup","n_local_pairs_blup","bearing_depth_cross","bearing_depth","pct_sounding","tid_flag_lt50","tid_flag_lt25"
"38F8",8.50000000019992,54.7499999999501,90,62,90,62,214.705475691608,304.705475691608,89.7364984251364,FALSE,FALSE
"39E8",-1.50000000004991,55.2499999998502,45,89,45,89,10.7579074128497,100.75790741285,99.8508527332858,FALSE,FALSE
"39E9",-0.499999999800082,55.2499999998502,45,102,45,102,232.055334244064,322.055334244064,100,FALSE,FALSE
"39F0",0.500000000000057,55.2499999998502,0,114,0,114,114.781973912972,204.781973912972,46.9618055555556,TRUE,FALSE
"39F1",1.4999999998002,55.2499999998502,135,118,135,118,122.202032620137,212.202032620137,87.6180555555556,FALSE,FALSE
"39F2",2.50000000004999,55.2499999998502,45,115,45,115,126.93891904356,216.93891904356,99.8298611111111,FALSE,FALSE
"39F3",3.50000000029982,55.2499999998502,90,112,45,112,0,90,99.7604166666667,FALSE,FALSE
"39F4",4.50000000009999,55.2499999998502,135,108,135,108,319.469718212364,49.469718212364,99.0208333333333,FALSE,FALSE
"39F5",5.49999999990013,55.2499999998502,90,101,90,101,0,90,99.3715277777778,FALSE,FALSE
"39F6",6.49999999970026,55.2499999998502,0,91,0,91,19.9369848714171,109.936984871417,95.7256944444444,FALSE,FALSE
"39F7",7.49999999995009,55.2499999998502,135,76,135,76,0,90,98.6631944444444,FALSE,FALSE
"39F8",8.50000000019992,55.2499999998502,135,64,135,64,212.347296402101,302.347296402101,98.8450215143051,FALSE,FALSE
"40E8",-1.50000000004991,55.7499999997502,0,93,0,93,277.782850669066,7.78285066906557,99.6382367976092,FALSE,FALSE
"40E9",-0.499999999800082,55.7499999997502,45,108,45,108,94.836289524249,184.836289524249,99.9861111111111,FALSE,FALSE
"40F0",0.500000000000057,55.7499999997502,45,118,45,118,128.925833458877,218.925833458877,52.5416666666667,FALSE,FALSE
"40F1",1.4999999998002,55.7499999997502,45,122,45,122,174.641288495163,264.641288495163,57.6944444444444,FALSE,FALSE
"40F2",2.50000000004999,55.7499999997502,135,120,45,120,173.242798738576,263.242798738576,72.03125,FALSE,FALSE
"40F3",3.50000000029982,55.7499999997502,45,116,45,116,150.628976394284,240.628976394284,92.8298611111111,FALSE,FALSE
"40F4",4.50000000009999,55.7499999997502,45,112,45,112,78.832063526543,168.832063526543,98.1597222222222,FALSE,FALSE
"40F5",5.49999999990013,55.7499999997502,90,104,90,104,344.283267300002,74.2832673000019,100,FALSE,FALSE
"40F6",6.49999999970026,55.7499999997502,90,91,135,91,144.873377504024,234.873377504024,100,FALSE,FALSE
"40F7",7.49999999995009,55.7499999997502,135,76,135,76,213.289132830799,303.289132830799,100,FALSE,FALSE
"41E7",-2.50000000029974,56.2499999996503,45,84,135,84,9.70064335344065,99.7006433534406,97.596051567885,FALSE,FALSE
"41E8",-1.50000000004991,56.2499999996503,0,98,0,98,311.986459827026,41.9864598270261,100,FALSE,FALSE
"41E9",-0.499999999800082,56.2499999996503,0,111,0,111,187.907368963324,277.907368963324,93.5763888888889,FALSE,FALSE
"41F0",0.500000000000057,56.2499999996503,45,122,45,122,40.5801905690038,130.580190569004,63.40625,FALSE,FALSE
"41F1",1.4999999998002,56.2499999996503,45,126,45,126,354.052980959193,84.0529809591927,48.9409722222222,TRUE,FALSE
"41F2",2.50000000004999,56.2499999996503,0,126,0,126,270,0,48.7048611111111,TRUE,FALSE
"41F3",3.50000000029982,56.2499999996503,0,121,0,121,318.365709030597,48.3657090305968,55.4375,FALSE,FALSE
"41F4",4.50000000009999,56.2499999996503,0,116,0,116,90,180,88.0659722222222,FALSE,FALSE
"41F5",5.49999999990013,56.2499999996503,90,106,0,106,258.690358619097,348.690358619097,100,FALSE,FALSE
"41F6",6.49999999970026,56.2499999996503,0,91,0,91,209.055246713184,299.055246713184,100,FALSE,FALSE
"41F7",7.49999999995009,56.2499999996503,45,76,135,76,0,90,100,FALSE,FALSE
"42E7",-2.50000000029974,56.7500000000001,0,87,0,87,328.731804425077,58.7318044250765,93.9635841779532,FALSE,FALSE
"42E8",-1.50000000004991,56.7500000000001,0,102,0,102,110.04036752855,200.04036752855,100,FALSE,FALSE
"42E9",-0.499999999800082,56.7500000000001,0,113,0,113,145.574565116335,235.574565116335,89.2083333333333,FALSE,FALSE
"42F0",0.500000000000057,56.7500000000001,90,123,90,123,170.526239629891,260.526239629891,72.3888888888889,FALSE,FALSE
"42F1",1.4999999998002,56.7500000000001,45,129,135,129,49.910231261653,139.910231261653,54.3993055555556,FALSE,FALSE
"42F2",2.50000000004999,56.7500000000001,45,130,45,130,0,90,43.2673611111111,TRUE,FALSE
"42F3",3.50000000029982,56.7500000000001,45,127,45,127,134.207596878781,224.207596878781,38.2430555555556,TRUE,FALSE
"42F4",4.50000000009999,56.7500000000001,45,119,45,119,53.8878788868479,143.887878886848,70.3576388888889,FALSE,FALSE
"42F5",5.49999999990013,56.7500000000001,0,106,0,106,132.362337966134,222.362337966134,92.5138888888889,FALSE,FALSE
"42F6",6.49999999970026,56.7500000000001,0,91,0,91,216.16895601992,306.16895601992,98.9548611111111,FALSE,FALSE
"42F7",7.49999999995009,56.7500000000001,0,76,0,76,316.183659072242,46.183659072242,100,FALSE,FALSE
"43E8",-1.50000000004991,57.2500000003498,0,101,0,101,119.630100901078,209.630100901078,99.1406852484301,FALSE,FALSE
"43E9",-0.499999999800082,57.2500000003498,0,111,0,111,319.418526984587,49.4185269845865,98.875,FALSE,FALSE
"43F0",0.500000000000057,57.2500000003498,90,120,90,120,16.9249075704094,106.924907570409,62.6631944444444,FALSE,FALSE
"43F1",1.4999999998002,57.2500000003498,45,125,45,125,245.953880381228,335.953880381228,55.8993055555556,FALSE,FALSE
"43F2",2.50000000004999,57.2500000003498,45,128,45,128,322.861013280046,52.8610132800457,50.7916666666667,FALSE,FALSE
"43F3",3.50000000029982,57.2500000003498,45,125,45,125,285.875067460993,15.8750674609925,40.875,TRUE,FALSE
"43F4",4.50000000009999,57.2500000003498,45,118,45,118,203.401975433636,293.401975433636,76.8888888888889,FALSE,FALSE
"43F5",5.49999999990013,57.2500000003498,45,104,45,104,120.462518656903,210.462518656903,96.9583333333333,FALSE,FALSE
"43F6",6.49999999970026,57.2500000003498,0,90,0,90,72.8766667222085,162.876666722209,90.1979166666667,FALSE,FALSE
"43F7",7.49999999995009,57.2500000003498,0,75,0,75,78.3933942222431,168.393394222243,99.5590277777778,FALSE,FALSE
"44E6",-3.50000000009987,57.7500000002499,45,75,45,75,123.793999360494,213.793999360494,94.6213191350646,FALSE,FALSE
"44E7",-2.50000000029974,57.7500000002499,45,89,45,89,25.4940008959614,115.494000895961,99.983579638752,FALSE,FALSE
"44E8",-1.50000000004991,57.7500000002499,45,99,45,99,16.9576475116413,106.957647511641,99.587218516198,FALSE,FALSE
"44E9",-0.499999999800082,57.7500000002499,45,108,45,108,160.417339759573,250.417339759573,99.4340277777778,FALSE,FALSE
"44F0",0.500000000000057,57.7500000002499,90,115,90,115,146.60829247489,236.60829247489,89.4409722222222,FALSE,FALSE
"44F1",1.4999999998002,57.7500000002499,90,120,90,120,0,90,74.6493055555556,FALSE,FALSE
"44F2",2.50000000004999,57.7500000002499,45,122,45,122,267.382968359577,357.382968359577,71.2361111111111,FALSE,FALSE
"44F3",3.50000000029982,57.7500000002499,45,121,45,121,212.236979479611,302.236979479611,78.6944444444444,FALSE,FALSE
"44F4",4.50000000009999,57.7500000002499,45,111,45,111,138.3514646525,228.3514646525,97.2465277777778,FALSE,FALSE
