model_id,year,year_start,year_end,phase,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi
categorical_phase,2004,2001,2007,2001-2007,0.072357533894124,0.007796781749857422,0.05707584166440345,0.08763922612384455
categorical_phase,2005,2001,2007,2001-2007,0.072357533894124,0.007796781749857422,0.05707584166440345,0.08763922612384455
categorical_phase,2006,2001,2007,2001-2007,0.072357533894124,0.007796781749857422,0.05707584166440345,0.08763922612384455
categorical_phase,2007,2001,2007,2001-2007,0.072357533894124,0.007796781749857422,0.05707584166440345,0.08763922612384455
categorical_phase,2008,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
categorical_phase,2009,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
categorical_phase,2010,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
categorical_phase,2011,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
categorical_phase,2012,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
categorical_phase,2013,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
categorical_phase,2014,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
categorical_phase,2015,2008,2015,2008-2015,0.0429907719229194,0.007067975562163632,0.02913753982107868,0.056844004024760114
continuous_linear_year,1985,NA,NA,NA,-0.0257026361751322,0.010090772469571314,-0.04548055021549198,-0.005924722134772426
continuous_linear_year,1986,NA,NA,NA,-0.023332224652059773,0.009737312059810568,-0.042417356289288485,-0.00424709301483106
continuous_linear_year,1987,NA,NA,NA,-0.02096181312898734,0.009389689374527369,-0.039365604303060985,-0.0025580219549136973
continuous_linear_year,1988,NA,NA,NA,-0.018591401605914912,0.009048577249081645,-0.03632661301411494,-8.561901977148893e-4
continuous_linear_year,1989,NA,NA,NA,-0.01622099008284248,0.008714740225479448,-0.0333018809247822,8.599007590972367e-4
continuous_linear_year,1990,NA,NA,NA,-0.013850578559770052,0.008389046873458697,-0.030293110431749096,0.0025919533122089923
continuous_linear_year,1991,NA,NA,NA,-0.01148016703669762,0.00807248294981727,-0.02730223361833947,0.004341899544944228
continuous_linear_year,1992,NA,NA,NA,-0.009109755513625188,0.007766164934354658,-0.024331438784960316,0.006111927757709941
continuous_linear_year,1993,NA,NA,NA,-0.006739343990552758,0.007471353149370943,-0.021383196163319806,0.00790450818221429
continuous_linear_year,1994,NA,NA,NA,-0.004368932467480328,0.007189463210847957,-0.018460280360742324,0.009722415425781668
continuous_linear_year,1995,NA,NA,NA,-0.0019985209444078975,0.006922073960899525,-0.015565785907770966,0.011568744018955171
continuous_linear_year,1996,NA,NA,NA,3.718905786645327e-4,0.006670929310275753,-0.012703130869475943,0.013446912026805008
continuous_linear_year,1997,NA,NA,NA,0.0027423021017369638,0.0064379306526037485,-0.009876041977366384,0.01536064618084031
continuous_linear_year,1998,NA,NA,NA,0.005112713624809395,0.006225115870028415,-0.007088513480446297,0.017313940730065085
continuous_linear_year,1999,NA,NA,NA,0.007483125147881825,0.006034620732517514,-0.0043447314878525024,0.019310981783616153
continuous_linear_year,2000,NA,NA,NA,0.009853536670954255,0.005868619127008217,-0.001648956817981849,0.02135603015989036
continuous_linear_year,2001,NA,NA,NA,0.012223948194026685,0.005729240509260286,9.946367958765245e-4,0.023453259592176846
continuous_linear_year,2002,NA,NA,NA,0.014594359717099117,0.005618466556856713,0.0035821652656599593,0.025606554168538277
continuous_linear_year,2003,NA,NA,NA,0.016964771240171546,0.005538014027662939,0.006110263745952187,0.027819278734390905
continuous_linear_year,2004,NA,NA,NA,0.019335182763243978,0.005489216298632396,0.008576318817924483,0.03009404670856347
continuous_linear_year,2005,NA,NA,NA,0.02170559428631641,0.005472920158220608,0.010978670776204019,0.0324325177964288
continuous_linear_year,2006,NA,NA,NA,0.024076005809388838,0.005489415071375941,0.013316752269491994,0.034835259349285684
continuous_linear_year,2007,NA,NA,NA,0.02644641733246127,0.0055384080633289435,0.015591137528336541,0.037301697136586
continuous_linear_year,2008,NA,NA,NA,0.028816828855533702,0.005619049137403114,0.017803492546223598,0.039830165164843806
continuous_linear_year,2009,NA,NA,NA,0.03118724037860613,0.005730002253373048,0.019956435961994957,0.042418044795217304
continuous_linear_year,2010,NA,NA,NA,0.03355765190167856,0.005869548681225467,0.022053336486476643,0.045061967316880475
continuous_linear_year,2011,NA,NA,NA,0.035928063424750994,0.0060357055015463545,0.02409808064172014,0.047758046207781846
continuous_linear_year,2012,NA,NA,NA,0.03829847494782342,0.006226342695678108,0.02609484326429433,0.05050210663135252
continuous_linear_year,2013,NA,NA,NA,0.04066888647089585,0.006439286381980322,0.02804788516221442,0.053289887779577286
continuous_linear_year,2014,NA,NA,NA,0.04303929799396829,0.006672401227204208,0.029961391588648037,0.05611720439928854
continuous_linear_year,2015,NA,NA,NA,0.045409709517040715,0.0069236500812029115,0.03183935535788301,0.05898006367619842
smooth_year_gam,1985,NA,NA,NA,0.019734237602868306,0.01829430919543709,-0.016122608420188388,0.055591083625925
smooth_year_gam,1986,NA,NA,NA,0.002416045412481322,0.014081312596108203,-0.025183327275890757,0.0300154181008534
smooth_year_gam,1987,NA,NA,NA,-0.01437951107817062,0.0121129169955086,-0.03812082838936748,0.009361806233026237
smooth_year_gam,1988,NA,NA,NA,-0.029936782724640745,0.011989677776341587,-0.05343655116627026,-0.006437014283011234
smooth_year_gam,1989,NA,NA,NA,-0.04346704974256943,0.012161926211312343,-0.06730442511674162,-0.01962967436839724
smooth_year_gam,1990,NA,NA,NA,-0.05423758297733371,0.011936065484241223,-0.07763227132644651,-0.03084289462822092
smooth_year_gam,1991,NA,NA,NA,-0.06159563873505131,0.011649757525757188,-0.0844291634855354,-0.03876211398456722
smooth_year_gam,1992,NA,NA,NA,-0.06492113473518782,0.011703759325036709,-0.08786050301225977,-0.04198176645811587
smooth_year_gam,1993,NA,NA,NA,-0.06359143615309244,0.011907732116978768,-0.08693059110237084,-0.04025228120381406
smooth_year_gam,1994,NA,NA,NA,-0.0570435726329602,0.011865454168448957,-0.08029986280312015,-0.033787282462800244
smooth_year_gam,1995,NA,NA,NA,-0.04496851044375591,0.011551823841273179,-0.06761008517265134,-0.02232693571486048
smooth_year_gam,1996,NA,NA,NA,-0.02759087852993174,0.011243051693960166,-0.04962725985009367,-0.005554497209769815
smooth_year_gam,1997,NA,NA,NA,-0.005915236580523363,0.011048202413954733,-0.02756971331187464,0.015739240150827914
smooth_year_gam,1998,NA,NA,NA,0.018204453994757373,0.01077093313501991,-0.002906574949881651,0.03931548293939639
smooth_year_gam,1999,NA,NA,NA,0.04227210699964917,0.010281784740999831,0.022119808907289505,0.06242440509200884
smooth_year_gam,2000,NA,NA,NA,0.06363235248657044,0.009762378103340914,0.04449809140402225,0.08276661356911863
smooth_year_gam,2001,NA,NA,NA,0.08010703503049586,0.009445174000917891,0.06159449398869679,0.09861957607229493
smooth_year_gam,2002,NA,NA,NA,0.09057475440387662,0.009249413205688407,0.07244590452072734,0.1087036042870259
smooth_year_gam,2003,NA,NA,NA,0.09526952161836515,0.008941021793209663,0.0777451189036742,0.11279392433305609
smooth_year_gam,2004,NA,NA,NA,0.09565216317046504,0.008550008507033727,0.07889414649667895,0.11241017984425114
smooth_year_gam,2005,NA,NA,NA,0.0938550029541831,0.008341636170293478,0.07750539606040788,0.11020460984795832
smooth_year_gam,2006,NA,NA,NA,0.09186399980832849,0.008352536231015787,0.07549302879553754,0.10823497082111944
smooth_year_gam,2007,NA,NA,NA,0.09071866055033635,0.008292123503707186,0.07446609848307027,0.10697122261760243
smooth_year_gam,2008,NA,NA,NA,0.09002819411046825,0.008044619505240897,0.07426073988019609,0.10579564834074041
smooth_year_gam,2009,NA,NA,NA,0.08800711833088239,0.007919891485069306,0.07248413102014654,0.10353010564161823
smooth_year_gam,2010,NA,NA,NA,0.08205282355072359,0.008143619757926405,0.06609132882518784,0.09801431827625934
smooth_year_gam,2011,NA,NA,NA,0.06968398775925941,0.008348881296898687,0.05332018041733798,0.08604779510118084
smooth_year_gam,2012,NA,NA,NA,0.04950640281601769,0.008162154089353679,0.03350858080088448,0.0655042248311509
smooth_year_gam,2013,NA,NA,NA,0.02182884828187664,0.00822619944903005,0.0057054973617777435,0.03795219920197554
smooth_year_gam,2014,NA,NA,NA,-0.011367103146192537,0.010059890371883283,-0.031084488275083772,0.008350281982698698
smooth_year_gam,2015,NA,NA,NA,-0.047225660093253276,0.01386139424485347,-0.07439399281316608,-0.020057327373340476
