record_type,perm_id,converged,phase_scheme,phase_col,phases,n_boot,n_failed,n_ok,seed,runtime_sec,n_cores,FP_between,slope_1985_1991,slope_1992_2001,slope_2002_2007,slope_2008_2015
permutation,139,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021095988931711395,0.021095988931711395,0.014001717490865364,-0.005301366395707399,0.007752862198632016
permutation,140,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009290022419547048,0.009290022419547048,-0.0016805368564558262,-0.0013368829909320094,-0.009670406964802727
permutation,141,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010987701210925575,-0.010987701210925575,-5.196875048912621e-4,0.005891433300694342,-0.0059236555250510355
permutation,142,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002106593772446721,0.002106593772446721,-7.057091462058366e-4,-0.00834746114677319,8.873650582706854e-4
permutation,143,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023949022539655807,0.0023949022539655807,0.014507463968264255,0.009842743745469822,0.0016696680219548065
permutation,144,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.028276286064000216,-0.028276286064000216,-0.004023947148932713,0.016921962357920605,0.00589186317016201
permutation,145,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004815515122901555,0.004815515122901555,0.012321755769560998,-0.007883999733585884,-0.011881258799062771
permutation,146,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017440802976012716,0.0017440802976012716,0.006836647467846417,0.014403058344238202,0.006745679803876751
permutation,147,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005942605422707864,0.005942605422707864,0.015284695363022112,-0.02751214626130217,-0.020312801813588757
permutation,148,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006412331658855952,-0.006412331658855952,-0.02339077772860714,0.009290552144112736,-0.0010277442400938941
permutation,149,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007098285936012488,-0.007098285936012488,0.009546388947847758,0.02393332293805461,0.013595523820753116
permutation,150,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008971702340764887,-0.008971702340764887,-0.024507849817453804,-0.010250828272087323,-0.0052274522559797205
