"accepted_name","aphia_id","total_N"
"Phycis blennoides",126501,57.1695
"Lophius budegassa",126554,52.857
"Gymnammodytes semisquamatus",126754,45
"Petromyzon marinus",101174,44.5213333333333
"Raja",105766,43
"Leucoraja fullonica",105874,40.0005
"Scyliorhinus stellaris",105815,39.0833333333333
"Ctenolabrus rupestris",126964,39.001
"Buglossidium",126127,39
"Raja undulata",105891,34.8166666666667
"Galeorhinus galeus",105820,31.8338333333333
"Echiodon drummondii",126663,30.0053333333333
"Raniceps raninus",126442,29.8
"Leptoclinus maculatus",127072,27
"Gadiculus",125731,23.5
"Brama brama",126783,20.0005
"Blennius ocellaris",126761,19.6166666666667
"Belone belone",126375,19
"Rajidae",105711,16.4666666666667
"Bothidae",125576,16.1
"Atherina",125659,16
"Labrus bergylta",126965,15
"Conger conger",126285,14.9
"Symphodus melops",273571,14.6166666666667
"Diplecogaster bimaculata",126513,14.5333333333333
"Cottidae",125589,14
"Salmo trutta",127187,14
"Micrenophrys lilljeborgii",127201,13
"Arnoglossus",126109,12.05
"Microchirus",126129,10
"Argentinidae",125508,9
"Leucoraja circularis",105873,9
"Galeus melastomus",105812,8.96666666666667
"Pegusa lascaris",127156,8.06666666666667
"Raja microocellata",105885,7.8
"Arnoglossus imperialis",127124,7
"Gaidropsarus mediterraneus",126457,7
"Lesueurigobius",125992,7
"Zeugopterus regius",236488,7
"Zeidae",125617,6.08333333333333
"Lampetra fluviatilis",101172,6
"Scorpaena scrofa",127248,6
"Coryphaenoides rupestris",158960,5
"Labrus mixtus",151501,5
"Hippocampus hippocampus",127380,4.03333333333333
"Artediellus atlanticus",127193,4
"Gaidropsarus",125743,4
"Gasterosteidae",125476,4
"Pagellus erythrinus",127060,4
"Bathyraja brachyurops",271509,3.03333333333333
"Stichaeidae",125566,3.00233333333333
"Chirolophis ascanii",127071,3
"Gobius paganellus",126893,3
"Rajella lintea",1019159,3
"Trachipterus arcticus",126527,3
"Caproidae",125613,3
"Lycodes",126104,2.00466666666667
"Buenia jeffreysii",126872,2
"Chelon",126030,2
"Lepidorhombus boscii",127145,2
"Molva dypterygia",126459,2
"Phycidae",125475,2
"Salmo salar",127186,2
"Somniosus microcephalus",105919,2
"Sparidae",125564,2
"Triglops",126154,2
"Lepadogaster lepadogaster",126518,2
"Zeugopterus",126125,2
"Symphodus bailloni",273566,1.03333333333333
"Trigla lyra",127266,1.03333333333333
"Gaidropsarus argentatus",126451,1.00233333333333
"Pterycombus brama",126785,1.0005
"Anarhichas minor",126759,1
"Anguilla",125620,1
"Blenniidae",125519,1
"Centrolabrus exoletus",126961,1
"Chelon auratus",1044127,1
"Coelorinchus caelorhincus",398381,1
"Cyclopteridae",125590,1
"Gaidropsarus macrophthalmus",126456,1
"Gobiesocidae",125477,1
"Labrus merula",126967,1
"Lepadogaster",125781,1
"Leptagonus decagonus",127191,1
"Leucoraja lentiginosa",271564,1
"Macroramphosus scolopax",127378,1
"Mugilidae",125546,1
"Nerophis lumbriciformis",127383,1
"Parablennius gattorugine",126770,1
"Scomberesox saurus",126392,1
"Sparus aurata",151523,1
"Thunnus thynnus",127029,1
"Trachyrincus murrayi",126481,1
"Zoarcidae",125575,1
"Acipenser sturio",126279,1
"Chelon labrosus",126977,1
"Diplecogaster",125779,0.8
"Gobius gasteveni",126890,0.8
"Hippocampus",126224,0
